area,rooms,bathrooms,parking_spaces,title,neighbourhood_city,street,sell_value
62 m²,2,2,1,"NOVA ALIANÇA R$ 380.000,00 2 dormitórios sendo 1 suíte sacada 1 vaga armários salão de festas salão de jogos 62 metros elevador -","Nova Aliança, Ribeirão Preto",Rua João Perone,R$ 380.000
81 m²,3,1,1,"Apartamento em ótima localização, 3 dormitórios com armários, sala ampla com ventilador de teto, banheiro social com gabinete e box blindex, cozinha planejada, área de serviços e 1 vaga de garagem. * VALOR DA LOCAÇÃO INCLUSO CONDOMÍNIO E IPTU. ref. 191351 atualizado em 05/12.","Jardim Paulistano, Ribeirão Preto",,R$ 170.000
110 m²,3,2,1,"Casa À Venda No Bairro Jardim Paulista Com 03 Dormitórios. Unidade conta com: 130,20 m² de terreno e 109,81 m² de área construída 03 dormitórios sendo 01 suíte Dormitórios com armários Banheiro social Cozinha planejada Lavanderia Corredor lateral 01 vaga de garagem. Próximo a escolas, restaurantes e Av. Treze de Maio. IMPORTANTE a metragem e valores anunciados de venda e de locação são meramente estimativos, e, portanto, estão sujeitos a confirmação e ou alteração pelos proprietários ou pessoas responsáveis. -","Jardim Paulista, Ribeirão Preto",Rua Orlândia,R$ 400.000
55 m²,2,1,1,"Apartamento em ótima localização , 2 dormitórios, sala ampla 2 ambientes, banheiro social com blindex e gabinete, , cozinha, área de serviços e 1 vaga de garagem coberta. Mais informações ou agendar visita -(1 6) 9 9 7 3 3 - 0 3 5 0 / (1 6) 9 8 8 6 1 - 6 1 1 0 / ( 1 6 ) 9 9 7 6 2-3 9 5. ref. 137801 atualizado em 05/12.","Vila Virgínia, Ribeirão Preto",,R$ 138.000
127 m²,3,2,2,"Excelente casa com 03 dormitórios sendo 01 suíte com armários, sala ampla com ar-condicionado, cozinha com armários planejados e área de serviço. Área externa com corredor lateral, quintal, área coberta com churrasqueira e 01 vaga de garagem coberta e 01 vaga descoberta. Localização com fácil acesso por avenidas, próximo de amplo comércio. Lembre-se, adquirindo com a consultoria de uma Imobiliária você terá todas certidões e garantias necessárias para realizar uma boa compra e sem qualquer custo. Ao enviar mensagem para este imóvel não esqueça de deixar o seu telefone, isso agiliza no seu atendimento. -","Jardim Maria Casagrande Lopes (Dona Amália), Ribeirão Preto",,R$ 300.000
88 m²,2,2,2,"Apartamento Santa Cruz 02 dormitórios sendo 01 suíte, banheiro social, sala ampla com dois ambientes e varanda, cozinha planejada, área de serviço 02 garagens tipo gaveta cobertas e no subsolo. O prédio possui na área comum duas piscinas (adulto e infantil), sauna, academia, salão de jogos, salão de festas e playground. Possui portaria virtual com câmeras por todo condomínio. Face sombra. Fácil acesso a supermercados, açougue, escolas, farmácia, feira livre, petshop e saída da cidade -","Santa Cruz do José Jacques, Ribeirão Preto",,R$ 385.000
66 m²,3,2,1,"Apartamento Condomínio Jardim Europa - Lagoinha - Ribeirão Preto. Lindo apartamento, com 3 dormitórios todos com armários sendo 1 suíte , cozinha com armários planejdados , banheiro social, área de serviço , sala ampla com sacada, 01 vaga de garagem. Condomínio oferece lazer total com 5 piscinas , quiosques , campo , salão de festas , portaria e ronda 24 horas e playground. Perto das principais vias de acessos , supermercados , comércios em geral , praça e feiras aos domingos. *Reservamo-nos o direito de corrigir qualquer informação, valor ou erro de digitação sem prévio aviso. -","Parque Industrial Lagoinha, Ribeirão Preto",Rua Benedicta Rodrigues Domingos,R$ 245.000
76 m²,3,2,1,"Apartamento com 76,08 m²; próximo Av. Leão XIII, 03 dormitórios, sendo 01 suíte, sendo 02 com armários embutidos, wc social com gabinete e espelho, sala 02 ambientes, sacada, cozinha com armários, área de serviço, 01 vaga de garagem. Condomínio com 20 torres de 07 andares; 04 aptos por andar; 01 elevador por torre; 15 quiosques com churrasqueira; 05 piscinas; salão de festas; quadra poliesportiva; playground; gás encanado; portão eletrônico; interfone; câmeras de segurança; cerca elétrica e portaria 24 horas. Valor do condomínio sujeito alteração. Lembre-se, adquirindo com a consultoria de uma Imobiliária você terá todas certidões e garantias necessárias para realizar uma boa compra, sem qualquer custo. -","Parque Industrial Lagoinha, Ribeirão Preto",,R$ 215.000
64 m²,2,2,2,"Apartamento com 64m², são dois dormitórios, sendo 1 suíte e 1 banheiro social. Conta com sala com 2 ambientes, cozinha americana, e acesso para sacada gourmet . Andar alto e vista livre definitiva. Área de lazer e 2 vagas cobertas. Portaria e segurança 24h.","Jardim Botânico, Ribeirão Preto",,R$ 680.000
87 m²,3,3,1,"Apartamento em ótima localização, 3 dormitórios sendo 2 com ventiladores de teto e 1 suíte, sala com ventilador de teto e sacada, banheiro social com gabinete, cozinha com gabinete, área de serviços com banheiro e 1 vaga de garagem. Mais informações ou agendar visita - (1 6) 9 9 7 6 4 4 6 8 9 OU 1 6 9 9 6 2 8 8 3 3. ref. 151250 atualizado em 05/12.","Jardim Irajá, Ribeirão Preto",,R$ 350.000
54 m²,1,2,1,"Imóvel anunciado por RE/MAX Rede We - CRECI 39450-J, atráves da plataforma Leads4Sales. Lindo apartamento disponível no Edifício Trio Home, localizado na prestigiosa Avenida Presidente Vargas, ao lado do Trio Office. Esta é uma oportunidade ideal para aqueles que estão considerando investir em imóveis! A localização deste apartamento é realmente privilegiada, situada nas proximidades dos melhores estabelecimentos comerciais e serviços que a Zona Sul da cidade tem a oferecer. Além disso, você terá um fácil acesso à região central da cidade, graças à proximidade da Avenida Presidente Vargas, uma das principais vias de nossa cidade, conectando a região central à região sul. O imóvel em questão possui 01 suíte com uma área generosa de 54 m², 01 lavabo, uma lavanderia separada e uma sala de estar com cozinha estilo americana. Agora, vamos falar um pouco sobre o Trio Home. Este empreendimento é verdadeiramente inovador, seguindo uma tendência global de integração e comodidade. O complexo multiuso reúne o conforto de uma torre residencial (Trio Home), a dinâmica de uma torre de escritórios (Trio Office) e a conveniência de um centro comercial (Trio Mall). O condomínio oferece um espaço seguro para estacionar, com direito a uma vaga na garagem. Além disso, você terá à sua disposição uma área de lazer completa, incluindo um salão de jogos para seu entretenimento, um salão de festas para encontros com a família e amigos, uma guarita com segurança 24 horas, sauna, SPA, espelho d'água, jardim com espelho d'água, espaço home office/concierge, plataforma para deficientes, deck, vestiários feminino e masculino, uma piscina com raia e até mesmo uma pracinha encantadora para passeios com as crianças e seus pets. Este é o momento perfeito para vir conhecer de perto esse incrível empreendimento. Não perca essa oportunidade! Entre em contato conosco e saiba mais detalhes sobre esta oferta incrível.","Jardim São Luiz, Ribeirão Preto",Rua Thomaz Nogueira Gaia,R$ 290.000
62 m²,2,2,1,"NOVA ALIANÇA R$ 380.000,00 2 dormitórios sendo 1 suíte sacada 1 vaga armários salão de festas salão de jogos 62 metros elevador -","Nova Aliança, Ribeirão Preto",Rua João Perone,R$ 380.000
115 m²,3,4,2,"Ótima Localização, Apartamento 3 Suítes, Lavabo, Ampla Sala, Cozinha, Área De Serviços, Sacada, 2 Vagas De Garagens. *Edifício Recém Entregue, Fino Acabamento* *Condomínio Com Lazer Completo* *Próximo Ao parque. ref. 7350 atualizado em 05/12.","Jardim Botânico, Ribeirão Preto",,R$ 690.000
58 m²,2,2,1,"Apartamento, 2 dormitórios com armários sendo 1 suíte com ar-condicionado, banheiro social, sala 2 ambientes com ar-condicionado, cozinha e área de serviço planejadas, sacada 1 vaga, excelente localização, próximo a UNAERP. Martinelli Imobiliária, referência no mercado imobiliário desde 2000. Especialistas em Venda e Locação! Avenida João Fiúsa, 1051 - Alto da Boa Vista. ref. 38090 atualizado em 05/12.","Ribeirânia, Ribeirão Preto",,R$ 450.000
91 m²,2,1,2,"Casa em condomínio fechado na zona norte de Ribeirão Preto, são 03 dormitórios, sala, cozinha, copa, banheiro social com box blindex e 01 vaga de garagem. P A R A M A I S I N F O R M A Ç Õ E S: 1 6 9 9 6 2 0 0 1 2 9 / 1 6 9 9 7 9 2 0 9 9. ref. 193682 atualizado em 05/12.","Residencial das Américas, Ribeirão Preto",,R$ 220.000
59 m²,3,2,1,"Apartamento em ótima localização, 3 dormitórios sendo 2 com armários e ventilador de teto e 1 suíte, sala, cozinha planejada, área de serviços, banheiro social com gabinete e 1 vaga de garagem. Mais informações ou agendar visita - (1 6) 9 9 7 3 3 - 0 3 5 0 / ( 1 6 ) 9 9 6 2 8 - 8 3 3 0 / ( 1 6 ) 9 9 7 9 4 - 5 0 9. ref. 132467 atualizado em 05/12.","Jardim Sumaré, Ribeirão Preto",,R$ 212.000
461 m²,4,4,4,"Casa sobrado, região comercial, Alto da Boa Vista, Zona Sul, Ribeirão Preto SP - 4 quartos com armários embutidos - sendo 1 suíte - várias salas na parte térrea - banheiro social - cozinha - quarto e banheiro de serviço - varanda - piscina - 4 vagas de estacionamento frontal A Piramid tem como objetivo atender seus clientes com agilidade e segurança, em locação, vendas de imóveis prontos, usados ou mesmo nos principais lançamentos da cidade de Ribeirão. ref. 10499 atualizado em 05/12.","Alto da Boa Vista, Ribeirão Preto",,R$ 700.000
111 m²,3,4,2,"Excelente Localização em Bonfim Paulista, Apartamento Novo, Acabamento em Porcelanato, 3 Dormitórios, 2 Suítes, Lavabo, Banheiro Social, 2 Vagas de Garagem, Sacada Gourmet, Lazer Completo, Portaria 24. ref. 9052 atualizado em 05/12.","Bonfim Paulista, Ribeirão Preto",,R$ 590.000
86 m²,3,3,1,"Apartamento de 3 dormitórios sendo 2 suítes. Com 86m² de área útil. Com sacada e completo em armários. Cozinha e área de serviço em porcelanato, outros cômodos em laminado amadeirado. Condomínio com piscina, salão de festas e portaria 24h. *Reservamo-nos o direito de corrigir qualquer informação, valor ou erro de digitação sem prévio aviso. -","Sumarezinho, Ribeirão Preto",Rua Montes Claros,R$ 265.000
47 m²,2,1,1,"Apartamento 2 dormitórios com ventiladores de teto, sala com ventilador de teto, banheiro social com box e gabinete, cozinha com armários, área de serviços, 01 vaga. Localizado próximo a comércios e com fácil acesso a Av. Meira Junior. Agende uma visita: 1 6 9 9 7 7 0 - 6 5 6. ref. 112163 atualizado em 05/12.","Jardim Paulistano, Ribeirão Preto",,R$ 135.000
171 m²,3,4,3,"Apartamento à venda na Villa Do Golfe com 03 suítes e varanda gourmet. Localizado em uma região privilegiada de Ribeirão Preto, ao lado de um dos campos de golfe mais bonitos do Brasil. Um projeto em que a modernidade e a exclusividade estão perfeitamente integradas. O condomínio oferece praça de acesso, guarita, lobby, hall social, open cinema, quadra de squash, espaço grill, play kids, espaço happy hour, open loung, web space, piscina com deck, solarium, pool lounge, piscina infantil, piscina cobeta, spa, fitness com spinning, pub, brinquedoteca, espaço festas, espaço gourmet, pet place no subsolo, bike sharing no subsolo, car wash no subsolo. Está ao lado do shopping Iguatemi, do Ipê golf club, Liceu Albert Sabin, escola concept, Pão de Açúcar, Novo mercadão, hospital unimed, Ribeirão Shopping. IMPORTANTE a metragem e valores anunciados de venda e de locação são meramente estimativos, e, portanto, estão sujeitos a confirmação e ou alteração pelos proprietários ou pessoas responsáveis. -","Vila do Golf, Ribeirão Preto",Alameda Senador Carlos Jereissati,R$ 1.609.600
84 m²,2,2,1,"Apartamento residencial para Venda no Residencial Palmares - Ribeirão Preto Principais informações do imóvel: - Apartamento - Bairro Residencial Palmares - Sala dois ambientes - Varanda gourmet - 2 dormitórios sendo 1 suíte - Banheiro social - Cozinha - Área de serviço - Área externa - 1 vaga de garagem Dimensões: - 83,64 m² de Área Construída Informações bônus: - Varanda gourmet - Dormitório com sacada Ótima localização, próximo à Rodovia Anhanguera, ampla rede de Comércios. Valor do condomínio variável, sujeito a alterações sem aviso prévio. Trabalhamos com as Garantias Locatícias: CredPago (Cartão de Crédito), Seguro Fiança, Fiador e Título de Capitalização. Ao enviar mensagem para este imóvel não esqueça de deixar o seu telefone, isso agiliza no seu atendimento. Lembre-se, adquirindo com a consultoria de uma Imobiliária você terá todas certidões e garantias necessárias para realizar uma boa compra, sem qualquer custo. -","Jardim Zara, Ribeirão Preto",,R$ 280.000
279 m²,,,,"Terreno em excelente localização, dois terrenos acoplados, totalizando 279,55 m².Ideal para investidores. Mais informações ou agendar visita - (1 6) 9 8 8 6 1 - 6 1 1 0 / (1 6) 9 9 7 3 3 - 0 3 5 0 / ( 1 6 ) 9 9 6 2 8 - 8 3 3 0 / ( 1 6 ) 9 9 7 9 4 - 5 0 9. ref. 78722 atualizado em 05/12.","Planalto Verde, Ribeirão Preto",,R$ 220.000
66 m²,2,2,1,"2 dormitórios, sendo 1 suíte c/ AE, sala de estar, sala de jantar, wc social, cozinha planejada, AS, despensa, quintal c/ churrasqueira, 1 vaga de. ref. 146603 atualizado em 05/12.","Jardim Botânico, Ribeirão Preto",,R$ 360.000
189 m²,3,4,4,"Casa à Venda no Condomínio Quinta dos Ventos. O terreno contempla uma área de 370,27 m2. na melhor localização do condomínio. A residência possui uma área de 178,71 m2, com uma linda piscina de 8 m2. Uma linda casa com: Escritório; Banheiro social; Sala de TV e sala de jantar integradas; Cozinha e varanda gourmet integradas; 1 suíte master e mais 2 suítes espaçosas; Área de serviço; Despensa; Armários externo; Todos os ambientes são bem amplos e iluminados. Inclusos armários, box e espelhos; Garagem com espaço para quatro carros, sendo duas vagas cobertas e duas descobertas. -","Loteamento Terras de Florença, Ribeirão Preto",Avenida Oscar Niemeyer,R$ 1.590.000
68 m²,2,2,1,"Excelente Localização, Centro da Cidade, Próximo ao Shopping Santa Úrsula, 2 Dormitórios, 1 Suíte, 1 Vaga de Garagem, Armários, Sacadas Sala e nos Dormitórios, Tela de Proteção, Box Blindex, Espelhos, Iluminação, Ventiladores, Lazer com Piscina e Área de Churrasco com Churrasqueira, Portaria 24. ref. 7693 atualizado em 05/12.","Centro, Ribeirão Preto",,R$ 298.000
100 m²,2,1,1,"Apartamento térreo padrão, Bairro Conjunto Habitacional Sílvio Passalacqua, (Zona Norte), em Ribeirão Preto/SP: - 2 dormitórios; - Banheiro social; - Sala para 2 ambientes; - Quintal amplo e com cobertura; - Cozinha planejada; - Lavanderia; - 1 Vaga de garagem. Seja para vender, alugar ou adquirir seu imóvel entre em contato com a Piramid Imóveis, a sua imobiliária em Ribeirão. ref. 211427 atualizado em 05/12.","Conjunto Habitacional Sílvio Passalacqua, Ribeirão Preto",,R$ 240.000
54 m²,2,2,1,"02 dormitórios (suíte/armários), sala, wc social (gabinete), sacada, cozinha planejada, área de serviço, 01 vaga de garagem coberta, lazer com piscina, churrasqueira, academia, salão festas e jogos, playground, portaria 24 hrs, elevador, prédio 10 andares, sendo 08 aptos. por andar. -","Nova Aliança, Ribeirão Preto",,R$ 330.000
81 m²,2,2,2,"Apartamento em ótima localização, 2 dormitórios com armário e ar condicionado sendo 1 suíte, sala , sacada, banheiro social com box blindex, cozinha planejada, área de serviços e 2 vagas de garagem. Mais informações ou agendar visita - (1 6) 9 9 7 3 3 - 0 3 5 0 / ( 1 6 ) 9 9 6 2 8 - 8 3 3 0 / ( 1 6 ) 9 9 7 9 4 - 5 0 9. ref. 171650 atualizado em 05/12.","Vila Monte Alegre, Ribeirão Preto",,R$ 360.000
200 m²,,2,3,"Galpão Comercial novo, Residencial Belvedere, (Zona Sul), em Bonfim Paulista/ Ribeirão Preto/SP; - Galpão com 200 m² de área construída; - Amplo galpão com estruturas metálicas; - 02 banheiros; - Copa; - Escritório com vista para galpão; - Mezanino; - 03 vagas de garagem recuadas; - Recém construído, com iluminação completa, ao lado do Loteamento Belvedere, localização em grande expansão. A Piramid tem como objetivo atender seus clientes com agilidade e segurança, em locação, vendas de imóveis prontos, usados ou mesmo nos principais lançamentos da cidade de Ribeirão. ref. 213116 atualizado em 05/12.","Bonfim Paulista, Ribeirão Preto",,R$ 550.000
190 m²,3,4,4,"Casa térrea em condomínio fechado, em excelente localização, 3 suítes com armários, sala 2 ambientes com pé direito de 4m, escritório, lavabo, cozinha gourmet planejada, churrasqueira, área de serviço, piscina de vinil, iluminação, box blindex, espelhos e 4 vagas de garagem sendo 2 coberta. Mais informações ou agendar visita - (1 6) 9 8 8 6 1 - 6 1 1. ref. 164300 atualizado em 05/12.","Residencial Alto do Castelo, Ribeirão Preto",,R$ 1.590.000
69 m²,2,2,2,"Apartamento no Bairro Jardim São Luiz da cidade, estando próximo a restaurantes, escolas, entre outros atrativos que esse aconchegante bairro oferece, estando com a planta configurada em; 02 dormitórios, sendo duas suítes completo em armários, sala 02 ambientes, integrado a sacada, cozinha rica em armários, área de serviço. O Edificio possui 02 vagas de garagem. -","Jardim Irajá, Ribeirão Preto",Rua Paschoal Bardaro,R$ 350.000
62 m²,2,2,2,"Lindo apartamento com 62.40 m², Próximo Av Independência e Faap, 02 suítes, ar condicionado, ventiladores de teto, rico em móveis planejados, banheiros com box blindex, espelho e gabinete, sala 02 ambientes, varanda gourmet, vista privilegiada, cozinha planejada, área de serviço, 02 vagas de garagem cobertas. Condomínio com área de lazer na cobertura do prédio, contendo: piscina, sauna, hidro, academia, salão de festas, cinema, espaço gourmet, portaria 24hrs, elevadores, câmeras de segurança. Lembre-se, adquirindo com a consultoria de uma Imobiliária você terá todas certidões e garantias necessárias para realizar uma boa compra, sem qualquer custo. -","Jardim Califórnia, Ribeirão Preto",,R$ 400.000
45 m²,2,1,1,"Apartamento para venda na Ribeirânia com 02 dormitórios. Unidade conta com 45.31 m² de área útil, 02 dormitórios, sala para 02 ambientes, banheiro, cozinha planejada, área de serviço e 01 vaga de garagem. Excelente localização, próximo ao supermercado Tonin, Escola Sesi, faculdade Unaerp. Condomínio conta com área de lazer completa, área de churrasco, fitness, piscina adulto, piscina infantil, 02 elevadores por torre, salão de festa adulto, salão de festa infantil, playground, câmeras, portaria 24hrs, gás encanado e medidor de água individual. IMPORTANTE a metragem e valores anunciados de venda e de locação são meramente estimativos, e, portanto, estão sujeitos a confirmação e ou alteração pelos proprietários ou pessoas responsáveis. -","Ribeirânia, Ribeirão Preto",Avenida Leão XIII,R$ 195.000
100 m²,3,2,1,"Apartamento térreo em ótima localização, 3 dormitórios com armários sendo 1 suíte com box e gabinete, sala 2 ambientes com sacada, banheiro social com box e gabinete cozinha planejada, área de serviços e 2 vagas de garagem. Mais informações ou agendar visita ( 1 6 ) 9 8 8 6 1 - 6 1 1 0 / ( 1 6 ) 9 9 7 3 3 - 0 3 5 0 / ( 1 6 ) 9 9 7 5 5 - 7 7 0 2 / ( 1 6 ) 9 9 7 9 4 - 5 0 9 0. ref. 86720 atualizado em 05/12.","Jardim Botânico, Ribeirão Preto",,R$ 520.000
178 m²,3,4,2,"Ótima casa com fino acabamento com 3 suítes, sala ampla com lavabo, cozinha, área de serviço coberta, corredor lateral, quintal com piscina e 2 vagas de garagem. Para mais informações ou agendar visita - (1 6) 9 9 6 4 6 - 0 7 5 4 / (1 6) 9 9 7 9 8 - 1 1 2. ref. 171665 atualizado em 05/12.","Bonfim Paulista, Ribeirão Preto",,R$ 970.000
278 m²,,,,"Sobrado com 2 dormitórios à venda, 141 m² de área construída. Casa Piso Superior: 2 Dormitórios, 1 banheiro e 1 deposito. Piso Inferior: Sala 2 ambientes, Cozinha com armários, Lavabo, Sala de Tv , Copa com Armários Embutidos, Varanda Gourmet com churrasqueira, Quintal, Lavanderia 2 Vagas Cobertas. Mais informações ou agendar visita ? (16) 9 9 7 5 3 2 7 5 2 / (16) 9 9 6 2 8 8 3 3. ref. 195101 atualizado em 05/12.","Parque dos Lagos, Ribeirão Preto",,R$ 565.000
126 m²,3,5,2,"Excelente apartamento com 3 suites, lavabo, banheiro empregada, varanda gourmet, ar split na sala, com armários nos quartos, banheiros, cozinha e área de serviço, roupeiro e dispensa. O condomínio oferece portaria 24h, piscina, academia, salão de festas, quadra poliesportiva, sauna. -","Alto da Boa Vista, Ribeirão Preto",Avenida Professor João Fiúsa,R$ 795.000
70 m²,2,2,1,"Apartamento no Edifício Magnifique a venda em Rua Arnaud Capuzzo - Nova Aliança - Ribeirão Preto/SP Excelente apartamento de 70 M², bem localizado no Bairro Nova Aliança 2 dormitórios sendo 1 suite, Lavabo 1 Sala com 2 ambientes 1 Sacada 1 vaga de garagem Unidade com armários, luminárias e e banhos completos Fundo Face sombra Tipo do imóvel: Apartamento a venda no bairro Nova Aliança em Ribeirão Preto São 70 metros! Veja algumas características: Box de vidro, Elevador, Piscina, Tanque, Tomada 3 pinos, Ventilador de teto Eu me especializei nessa região do Nova Aliança Posso marcar a visita bem rápido :) Para isso, clique no botão ao lado ou me chame no WhatsApp ou telefone e mencione o código 296471 Venha para Nova Aliança, o bairro mais charmoso de Ribeirão Preto! Aqui você encontrará tudo o que precisa para ter uma vida tranquila e confortável. Com muitos parques, praças e áreas verdes, Nova Aliança é o lugar ideal para quem busca qualidade de vida. Além disso, o bairro conta com excelentes opções de lazer, como cinemas, restaurantes, bares e muito mais. Nova Aliança também possui uma rica história. O bairro foi criado em meados do século XX, como parte de um plano de expansão urbana da cidade. Desde então, o bairro tem se desenvolvido e se modernizado, tornando-se um dos bairros mais desejados de Ribeirão Preto. Venha para Nova Aliança e desfrute de tudo o que o bairro tem a oferecer! Clique no botão ao lado que entraremos em contato imediatamente para te auxiliar na busca do imóvel ideal! A NEWCORE possui diversas equipes especializadas em várias regiões do Brasil, com corretores experientes e capacitados que te ajudarão a encontrar o imóvel dos seus sonhos Anúncio do corretor de imóveis Sandra Cristina Gouveia CRECI: 240125","Nova Aliança, Ribeirão Preto",Rua Arnaud Capuzzo,R$ 324.880
66 m²,2,2,1,"Apartamento em ótima localização, 2 dormitórios com armários e ar condicionado sendo 1 suíte , sala e cozinha americana com sacada, banheiro social com gabinete e box blindex, cozinha com armários , área de serviços e 1 vaga de garagem. Agende sua visita - (1 6) 9 9 7 3 7- 2 6 7 2 / ( 1 6 ) 9 9 7 2 8- 1 1 2. ref. 192779 atualizado em 05/12.","Residencial Flórida, Ribeirão Preto",,R$ 270.000
117 m²,3,3,2,"Apartamento em ótima localização, 3 dormitórios com armários sendo 1 suíte com blindex e gabinete, banheiro social com blindex e gabinete, sala 2 ambientes com sacada, cozinha planejada, área de serviços e 2 vagas de garagem. condomínio com piscina adulto e infantil, academia, brinquedoteca, sala de jogos, salão de festas e área gourmet com 4 churrasqueiras (3 em espaços menores e 1 com área ampla para eventos maiores ). Agende sua visita - (1 6) 9 9 7 3 7- 2 6 7 2 / ( 1 6 ) 9 9 7 2 8- 1 1 2. ref. 187598 atualizado em 05/12.","República, Ribeirão Preto",,R$ 550.000
96 m²,3,1,2,"NOVO - NUNCA HABITADO - Lindo Apto Residencial no Jardim Botânico com 96 m², com ótima localização próximo ao Parque Luiz Carlos Raya, Av Wladimir Meirelles, Av Thomaz Nogueira Gaia, Famosa Pizza, quartos em piso laminado e demais cômodos em porcelanato; sala ampla com sacada (com pia), lavabo, cozinha conjugada com área de serviço e acesso a sacada também, 3 dormitórios sendo 1 suíte ambos com persianas, banheiros revestido ate o teto. Condomínio com área de lazer completa e 2 vagas cobertas na garagem. Imóvel será entregue com todos planejados. Temos mais unidades disponíveis no prédio. -","Jardim São Luiz, Ribeirão Preto",,R$ 605.000
74 m²,2,2,2,"Ótima localização , Apartamento 2 Dormitórios, Sendo Uma Suíte, Wc Social, Sala Ampliada, Cozinha Toda Planejada, Área De Serviços, Sacada, 2 Vagas De Garagem. *Rico Em Armários, Iluminação, Box Blindex* * Sala Ampliada a Planta É De 3 Dormitórios Mas Estão Com 2* *Tendo a Opção De Virar Um Terceiro Dormitórios* *50 Metros Da Faculdade Unaerp* *Fino. ref. 5255 atualizado em 05/12.","Ribeirânia, Ribeirão Preto",,R$ 590.000
59 m²,1,1,1,"Condomínio fechado, Elevador, Segurança 24h, Portaria, Permitido animais, Academia, Piscina, Salão de festas Todo planejado; Varanda com vista para o Parque Luiz Carlos Raya *Localização divulgada aproximada ao imóvel, para conhecer pessoalmente agende sua visita. *Reservamo-nos o direito de corrigir qualquer informação, valor ou erro de digitação sem prévio aviso -","Jardim Botânico, Ribeirão Preto",Rua Severiano Amaro dos Santos,R$ 394.000
66 m²,3,2,1,"Apartamento com 3 dormitórios todos com armários, sendo 1 suíte, sala. banheiro social, cozinha com armários, sacada com vidro, 01 vaga de garagem. INTERESSADOS: ( 1 6 ) 9 9 7 8 8 - 5 0 9 0 / ( 1 6 ) 9 9 6 2 8 - 8 3 3 0 , seu sonho ou seu investimento realizado com a equipe LAGO. ref. 175169 atualizado em 05/12.","Parque Industrial Lagoinha, Ribeirão Preto",,R$ 255.000
31 m²,1,1,1,"Apartamento tipo flat, mobiliado, com sacada, no Jardim Paulista, ao lado da universidade Barão de Mauá.Pintura nova, piso porcelanato, armários (cozinha, banheiro, guarda-roupa), luminárias, ventilador de teto, cama box casal, sofá, rack, escrivaninha, banquetas, fogão e geladeira, tudo incluso, pronto para locar para estudantes ou trabalhadores e também para morar. Super tranquilo e aconchegante. Condomínio com portaria 24h, câmeras de segurança, água e lavanderia inclusa, academia. Ótima localização próximo a supermercado, panificadora, varejão, lotérica, comércio e pontos de ônibus. Uma vaga coberta (rotativa).","Jardim Paulista, Ribeirão Preto",Rua Capivari,R$ 158.000
185 m²,3,4,4,"Linda casa na Riberânia, (Zona Leste) em Ribeirão Preto-SP, lazer completo, contendo: - 3 dormitórios com armários planejados, sendo 2 suítes completas; - Banheiro social completo; - Lavabo; - Sala ampla 3 ambientes; - Cozinha planejada; - Despensa; - Lazer com área gourmet, churrasqueira; - Piscina/ Chuveirão; - Lavanderia; - 4 vagas de garagem. A Piramid tem como objetivo atender seus clientes com agilidade e segurança, em locação, vendas de imóveis prontos, usados ou mesmo nos principais lançamentos da cidade de Ribeirão. ref. 5987 atualizado em 05/12.","Ribeirânia, Ribeirão Preto",,R$ 900.000
150 m²,,,,"Terreno à Venda, 150m² por R$ 130.000. Jardim Piratininga - Ribeirão Preto/SP Encontrar o imóvel dos sonhos nunca foi tão fácil como na parceria entre a Arbo e a PSF imóveis! Basta preencher o formulário com nome, telefone e e-mail e enviar. Pronto! Agora o corretor da PSF imóveis entrará em contato para confirmar interesse e agendar uma visita. Se quiser reforçar o interesse, é só mandar mensagem para o número anunciado ao lado para ser encaminhado à imobiliária. Lembre-se que o imóvel está sujeito à confirmação de disponibilidade e valores. Confira mais sobre o imóvel da PSF imóveis: Terreno plano face sombra medindo 5x30, rua com asfalto, agua e luz, pronto para construir","Jardim Piratininga, Ribeirão Preto",Rua Medeiros de Albuquerque,R$ 130.000
165 m²,3,3,2,"Lindo Apartamento com Ótima Localização - Oportunidade Imperdível! Este é o apartamento que você estava esperando! Com uma localização privilegiada e muitos recursos desejáveis, este imóvel oferece o melhor em conforto e conveniência. Aqui estão alguns destaques: 3 dormitórios, todos equipados com ar condicionado para o seu conforto durante todo o ano. 3 banheiros bem equipados para atender às necessidades da família. Armários planejados em vários espaços, proporcionando organização e estilo. Ventiladores e ar condicionado para garantir um ambiente agradável, independentemente da estação do ano. Forno embutido para facilitar suas refeições e tornar a culinária uma experiência mais prazerosa. Portas e guarnições novas, adicionando um toque moderno e fresco à decoração. 2 vagas na garagem para proteger seus veículos com segurança. Portaria para sua tranquilidade e segurança. Localização Estratégica: Este apartamento está convenientemente localizado a apenas 50 metros da Universidade Barão de Mauá, tornando-o ideal para estudantes, professores e profissionais que desejam estar próximos a uma instituição de ensino de prestígio. Além disso, a área oferece fácil acesso a uma ampla variedade de comércios, serviços e opções de lazer. Esta é uma oportunidade imperdível de possuir um apartamento que combina conforto, praticidade e proximidade com as comodidades da vida urbana. Para mais informações ou para agendar uma visita, entre em contato conosco. Não perca a chance de fazer deste apartamento o seu novo lar. Aguardamos o seu contato para tornar esse sonho realidade! -","Jardim Paulista, Ribeirão Preto",Rua Carlos Chagas,R$ 472.000
